valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,popExtrapolation,totalConsultationsExtrapolation,incValue,prctConsultations,prct,trend,dataComplete
consultations,2013-W05,week,region_3,sentinella_region,all,agegroup_ili_ari,all,5259.9,22070.9,1923,385.12,4.42,15.7,rising,TRUE
consultations,2013-W05,week,region_4,sentinella_region,all,agegroup_ili_ari,all,2959.1,22498.3,1944,382.25,4.42,8.9,rising,TRUE
consultations,2013-W05,week,region_5,sentinella_region,all,agegroup_ili_ari,all,7393.4,45429.6,4050,312.57,3.51,22.1,rising,TRUE
consultations,2013-W05,week,region_6,sentinella_region,all,agegroup_ili_ari,all,2511,15958.1,1573,463.72,4.7,7.5,stagnant,TRUE
consultations,2013-W05,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W06,week,CH,country,all,agegroup_ili_ari,all,39325,178006.5,14770,483.13,5.82,100,rising,TRUE
consultations,2013-W06,week,region_1,sentinella_region,all,agegroup_ili_ari,all,10290.8,40834.5,2979,597.53,8.19,26.8,rising,TRUE
consultations,2013-W06,week,region_2,sentinella_region,all,agegroup_ili_ari,all,7720.5,32488,2572,563.28,7.12,20.1,rising,TRUE
consultations,2013-W06,week,region_3,sentinella_region,all,agegroup_ili_ari,all,6124.7,25198.2,2157,448.44,5.24,15.9,rising,TRUE
consultations,2013-W06,week,region_4,sentinella_region,all,agegroup_ili_ari,all,3303.5,16169,1372,426.74,5.03,8.6,rising,TRUE
consultations,2013-W06,week,region_5,sentinella_region,all,agegroup_ili_ari,all,8064.9,46632.8,4078,340.96,3.9,21,stagnant,TRUE
consultations,2013-W06,week,region_6,sentinella_region,all,agegroup_ili_ari,all,2921.1,16684,1612,539.44,5.58,7.6,rising,TRUE
consultations,2013-W06,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W07,week,CH,country,all,agegroup_ili_ari,all,31314,155181.6,12583,384.71,4.74,100,stagnant,TRUE
consultations,2013-W07,week,region_1,sentinella_region,all,agegroup_ili_ari,all,7049,36159.2,2577,409.3,5.74,22.9,falling,TRUE
consultations,2013-W07,week,region_2,sentinella_region,all,agegroup_ili_ari,all,5446.4,27682.7,2128,397.36,5.17,17.7,falling,TRUE
consultations,2013-W07,week,region_3,sentinella_region,all,agegroup_ili_ari,all,4967.7,23644.6,1984,363.72,4.33,16.1,stagnant,TRUE
consultations,2013-W07,week,region_4,sentinella_region,all,agegroup_ili_ari,all,2946.9,13660.1,1148,380.67,4.53,9.6,stagnant,TRUE
consultations,2013-W07,week,region_5,sentinella_region,all,agegroup_ili_ari,all,6323.6,43016.3,3701,267.34,3.11,20.6,falling,TRUE
consultations,2013-W07,week,region_6,sentinella_region,all,agegroup_ili_ari,all,4029.8,11018.6,1045,744.19,7.85,13.1,rising,TRUE
consultations,2013-W07,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W08,week,CH,country,all,agegroup_ili_ari,all,25678.1,159125.5,13061,315.47,3.84,100,falling,TRUE
consultations,2013-W08,week,region_1,sentinella_region,all,agegroup_ili_ari,all,7190.1,32575.9,2307,417.49,5.9,27.4,stagnant,TRUE
consultations,2013-W08,week,region_2,sentinella_region,all,agegroup_ili_ari,all,3136.2,30593.4,2369,228.81,2.95,12,falling,TRUE
consultations,2013-W08,week,region_3,sentinella_region,all,agegroup_ili_ari,all,5511.6,15363.7,1297,403.55,4.78,21,stagnant,TRUE
consultations,2013-W08,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1970.1,19646.1,1654,254.5,3.02,7.5,falling,TRUE
consultations,2013-W08,week,region_5,sentinella_region,all,agegroup_ili_ari,all,6310.5,46478.8,4047,266.79,3.06,24.1,stagnant,TRUE
consultations,2013-W08,week,region_6,sentinella_region,all,agegroup_ili_ari,all,2096,14467.7,1387,387.07,4.04,8,falling,TRUE
consultations,2013-W08,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W09,week,CH,country,all,agegroup_ili_ari,all,17806.3,173252.8,13919,218.76,2.72,100,falling,TRUE
consultations,2013-W09,week,region_1,sentinella_region,all,agegroup_ili_ari,all,3414.8,34294.7,2391,198.28,2.84,19,falling,TRUE
consultations,2013-W09,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2164.5,27862.4,2080,157.92,2.12,12,falling,TRUE
consultations,2013-W09,week,region_3,sentinella_region,all,agegroup_ili_ari,all,3508.6,26470,2193,256.89,3.1,19.5,falling,TRUE
consultations,2013-W09,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1168.5,22524.9,1851,150.94,1.84,6.5,falling,TRUE
consultations,2013-W09,week,region_5,sentinella_region,all,agegroup_ili_ari,all,6213.8,47962.9,4080,262.7,3.09,34.6,stagnant,TRUE
consultations,2013-W09,week,region_6,sentinella_region,all,agegroup_ili_ari,all,1493.7,14138,1324,275.85,2.95,8.3,falling,TRUE
consultations,2013-W09,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W10,week,CH,country,all,agegroup_ili_ari,all,17777,167123.6,13658,218.4,2.67,100,stagnant,TRUE
consultations,2013-W10,week,region_1,sentinella_region,all,agegroup_ili_ari,all,3698.1,33530.8,2378,214.73,3.03,21,stagnant,TRUE
consultations,2013-W10,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2614.4,27262.1,2056,190.74,2.53,14.9,stagnant,TRUE
consultations,2013-W10,week,region_3,sentinella_region,all,agegroup_ili_ari,all,2751.7,23328.8,1968,201.47,2.39,15.6,falling,TRUE
consultations,2013-W10,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1455.8,20737.9,1735,188.06,2.25,8.3,stagnant,TRUE
consultations,2013-W10,week,region_5,sentinella_region,all,agegroup_ili_ari,all,5902.5,48488.5,4206,249.54,2.88,33.5,stagnant,TRUE
consultations,2013-W10,week,region_6,sentinella_region,all,agegroup_ili_ari,all,1179.3,13775.6,1315,217.78,2.28,6.7,falling,TRUE
consultations,2013-W10,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W11,week,CH,country,all,agegroup_ili_ari,all,8774.5,169765.7,14401,107.8,1.27,100,falling,TRUE
consultations,2013-W11,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1585.8,35837.7,2641,92.08,1.25,18,falling,TRUE
consultations,2013-W11,week,region_2,sentinella_region,all,agegroup_ili_ari,all,761.3,30611.3,2452,55.54,0.69,8.7,falling,TRUE
consultations,2013-W11,week,region_3,sentinella_region,all,agegroup_ili_ari,all,2022.3,23637,2072,148.07,1.69,23,falling,TRUE
consultations,2013-W11,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1173,20458.2,1777,151.53,1.74,13.3,stagnant,TRUE
consultations,2013-W11,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2773.6,46905.5,4223,117.26,1.3,31.5,falling,TRUE
consultations,2013-W11,week,region_6,sentinella_region,all,agegroup_ili_ari,all,483.6,12316,1236,89.31,0.89,5.5,falling,TRUE
consultations,2013-W11,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W12,week,CH,country,all,agegroup_ili_ari,all,6557.3,172543.2,14002,80.56,0.99,100,falling,TRUE
consultations,2013-W12,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1025.9,36932,2589,59.57,0.85,15.7,falling,TRUE
consultations,2013-W12,week,region_2,sentinella_region,all,agegroup_ili_ari,all,748,31154.9,2387,54.57,0.71,11.5,stagnant,TRUE
consultations,2013-W12,week,region_3,sentinella_region,all,agegroup_ili_ari,all,1007.1,23055.5,1936,73.74,0.88,15.4,falling,TRUE
consultations,2013-W12,week,region_4,sentinella_region,all,agegroup_ili_ari,all,637.8,18205.5,1518,82.39,0.99,9.8,falling,TRUE
consultations,2013-W12,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2410.5,50044.5,4321,101.91,1.18,36.9,falling,TRUE
consultations,2013-W12,week,region_6,sentinella_region,all,agegroup_ili_ari,all,700,13150.8,1251,129.27,1.36,10.7,stagnant,TRUE
consultations,2013-W12,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W13,week,CH,country,all,agegroup_ili_ari,all,3666.1,155421.7,11906,45.04,0.59,100,falling,TRUE
consultations,2013-W13,week,region_1,sentinella_region,all,agegroup_ili_ari,all,690.1,29946.2,1970,40.07,0.61,20.1,falling,TRUE
consultations,2013-W13,week,region_2,sentinella_region,all,agegroup_ili_ari,all,711.2,26977.8,1922,51.89,0.73,20.7,stagnant,TRUE
consultations,2013-W13,week,region_3,sentinella_region,all,agegroup_ili_ari,all,402.4,20364.5,1603,29.46,0.37,11.7,falling,TRUE
consultations,2013-W13,week,region_4,sentinella_region,all,agegroup_ili_ari,all,443.5,19200,1500,57.29,0.73,12.9,falling,TRUE
consultations,2013-W13,week,region_5,sentinella_region,all,agegroup_ili_ari,all,644.6,44029.1,3577,27.25,0.34,18.8,falling,TRUE
consultations,2013-W13,week,region_6,sentinella_region,all,agegroup_ili_ari,all,545,14904,1334,100.64,1.12,15.9,stagnant,TRUE
consultations,2013-W13,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W14,week,CH,country,all,agegroup_ili_ari,all,2141.5,140618.8,10344,26.31,0.36,100,falling,TRUE
consultations,2013-W14,week,region_1,sentinella_region,all,agegroup_ili_ari,all,641.2,24172.2,1522,37.23,0.59,28.4,stagnant,TRUE
consultations,2013-W14,week,region_2,sentinella_region,all,agegroup_ili_ari,all,0,27245.3,1880,0,0,0,falling,TRUE
consultations,2013-W14,week,region_3,sentinella_region,all,agegroup_ili_ari,all,526.9,20735.8,1577,38.58,0.51,23.3,stagnant,TRUE
consultations,2013-W14,week,region_4,sentinella_region,all,agegroup_ili_ari,all,242.2,19172.5,1436,31.29,0.42,10.7,falling,TRUE
consultations,2013-W14,week,region_5,sentinella_region,all,agegroup_ili_ari,all,799.3,38474.2,3007,33.79,0.43,35.4,stagnant,TRUE
consultations,2013-W14,week,region_6,sentinella_region,all,agegroup_ili_ari,all,50,10818.8,922,9.24,0.11,2.2,falling,TRUE
consultations,2013-W14,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W15,week,CH,country,all,agegroup_ili_ari,all,1698.7,172536.4,12577,20.87,0.29,100,falling,TRUE
consultations,2013-W15,week,region_1,sentinella_region,all,agegroup_ili_ari,all,354.3,34025.3,2109,20.57,0.33,23.2,falling,TRUE
consultations,2013-W15,week,region_2,sentinella_region,all,agegroup_ili_ari,all,44.3,30981.3,2125,3.23,0.05,2.9,stagnant,TRUE
consultations,2013-W15,week,region_3,sentinella_region,all,agegroup_ili_ari,all,185.1,22144.1,1648,13.55,0.18,12.1,falling,TRUE
consultations,2013-W15,week,region_4,sentinella_region,all,agegroup_ili_ari,all,176.1,17582.9,1325,22.75,0.3,11.5,falling,TRUE
consultations,2013-W15,week,region_5,sentinella_region,all,agegroup_ili_ari,all,328.1,50469.4,3901,13.87,0.18,21.5,falling,TRUE
consultations,2013-W15,week,region_6,sentinella_region,all,agegroup_ili_ari,all,437.4,17333.5,1469,80.77,0.95,28.7,stagnant,TRUE
consultations,2013-W15,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W16,week,CH,country,all,agegroup_ili_ari,all,629.2,194031.3,13383,7.73,0.11,100,falling,TRUE
consultations,2013-W16,week,region_1,sentinella_region,all,agegroup_ili_ari,all,44.3,38979.3,2295,2.57,0.04,7.4,falling,TRUE
consultations,2013-W16,week,region_2,sentinella_region,all,agegroup_ili_ari,all,42.4,32377.9,2080,3.09,0.05,7.1,stagnant,TRUE
consultations,2013-W16,week,region_3,sentinella_region,all,agegroup_ili_ari,all,96.8,28190.1,1996,7.09,0.1,16.1,falling,TRUE
consultations,2013-W16,week,region_4,sentinella_region,all,agegroup_ili_ari,all,34,22775.4,1607,4.39,0.06,5.7,falling,TRUE
consultations,2013-W16,week,region_5,sentinella_region,all,agegroup_ili_ari,all,270.6,52430.6,3859,11.44,0.16,45.1,falling,TRUE
consultations,2013-W16,week,region_6,sentinella_region,all,agegroup_ili_ari,all,112.4,19278,1546,20.75,0.26,18.7,stagnant,TRUE
consultations,2013-W16,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W17,week,CH,country,all,agegroup_ili_ari,all,372.8,174820.7,12564,4.58,0.06,100,falling,TRUE
consultations,2013-W17,week,region_1,sentinella_region,all,agegroup_ili_ari,all,123.3,41875,2593,7.16,0.12,32.8,stagnant,TRUE
consultations,2013-W17,week,region_2,sentinella_region,all,agegroup_ili_ari,all,52.2,26240.5,1797,3.81,0.06,13.9,rising,TRUE
consultations,2013-W17,week,region_3,sentinella_region,all,agegroup_ili_ari,all,0,25843.6,1931,0,0,0,falling,TRUE
consultations,2013-W17,week,region_4,sentinella_region,all,agegroup_ili_ari,all,0,21227.5,1583,0,0,0,falling,TRUE
consultations,2013-W17,week,region_5,sentinella_region,all,agegroup_ili_ari,all,200.8,47141.3,3619,8.49,0.11,53.4,falling,TRUE
consultations,2013-W17,week,region_6,sentinella_region,all,agegroup_ili_ari,all,0,12492.8,1041,0,0,0,falling,TRUE
consultations,2013-W17,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W18,week,CH,country,all,agegroup_ili_ari,all,359.8,158381.2,11370,4.42,0.06,100,stagnant,TRUE
consultations,2013-W18,week,region_1,sentinella_region,all,agegroup_ili_ari,all,0,39136.9,2409,0,0,0,falling,TRUE
consultations,2013-W18,week,region_2,sentinella_region,all,agegroup_ili_ari,all,0,28772,2007,0,0,0,falling,TRUE
consultations,2013-W18,week,region_3,sentinella_region,all,agegroup_ili_ari,all,59,23165.5,1722,4.32,0.06,17.8,stagnant,TRUE
consultations,2013-W18,week,region_4,sentinella_region,all,agegroup_ili_ari,all,0,16273.8,1189,0,0,0,falling,TRUE
consultations,2013-W18,week,region_5,sentinella_region,all,agegroup_ili_ari,all,62,38183.6,2936,2.62,0.03,18.7,falling,TRUE
consultations,2013-W18,week,region_6,sentinella_region,all,agegroup_ili_ari,all,210.7,12849.4,1107,38.91,0.45,63.5,rising,TRUE
consultations,2013-W18,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W19,week,CH,country,all,agegroup_ili_ari,all,612.1,146260.9,11157,7.52,0.1,100,rising,TRUE
consultations,2013-W19,week,region_1,sentinella_region,all,agegroup_ili_ari,all,0,28136.4,1839,0,0,0,falling,TRUE
consultations,2013-W19,week,region_2,sentinella_region,all,agegroup_ili_ari,all,100.3,27331.3,1946,7.32,0.1,20.9,rising,TRUE
consultations,2013-W19,week,region_3,sentinella_region,all,agegroup_ili_ari,all,0,19974.8,1572,0,0,0,falling,TRUE
consultations,2013-W19,week,region_4,sentinella_region,all,agegroup_ili_ari,all,0,17199.5,1341,0,0,0,falling,TRUE
consultations,2013-W19,week,region_5,sentinella_region,all,agegroup_ili_ari,all,0,40752.8,3311,0,0,0,falling,TRUE
consultations,2013-W19,week,region_6,sentinella_region,all,agegroup_ili_ari,all,378.8,12866.2,1148,69.95,0.78,79.1,rising,TRUE
consultations,2013-W19,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W20,week,CH,country,all,agegroup_ili_ari,all,425.7,171941.4,13108,5.23,0.07,100,stagnant,TRUE
consultations,2013-W20,week,region_1,sentinella_region,all,agegroup_ili_ari,all,0,38502,2542,0,0,0,falling,TRUE
consultations,2013-W20,week,region_2,sentinella_region,all,agegroup_ili_ari,all,0,33223.4,2389,0,0,0,falling,TRUE
consultations,2013-W20,week,region_3,sentinella_region,all,agegroup_ili_ari,all,0,18716.6,1476,0,0,0,falling,TRUE
consultations,2013-W20,week,region_4,sentinella_region,all,agegroup_ili_ari,all,0,20446.5,1604,0,0,0,falling,TRUE
consultations,2013-W20,week,region_5,sentinella_region,all,agegroup_ili_ari,all,52.5,44959.4,3659,2.22,0.03,16.3,stagnant,TRUE
consultations,2013-W20,week,region_6,sentinella_region,all,agegroup_ili_ari,all,269.2,16093.5,1438,49.71,0.56,83.7,stagnant,TRUE
consultations,2013-W20,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W21,week,CH,country,all,agegroup_ili_ari,all,372.8,152954.2,11201,4.58,0.06,100,falling,TRUE
consultations,2013-W21,week,region_1,sentinella_region,all,agegroup_ili_ari,all,56.7,30374,1914,3.29,0.05,19.3,rising,TRUE
consultations,2013-W21,week,region_2,sentinella_region,all,agegroup_ili_ari,all,0,24804.5,1720,0,0,0,falling,TRUE
consultations,2013-W21,week,region_3,sentinella_region,all,agegroup_ili_ari,all,0,21329.3,1600,0,0,0,falling,TRUE
consultations,2013-W21,week,region_4,sentinella_region,all,agegroup_ili_ari,all,127.1,18275.3,1361,16.42,0.22,43.2,rising,TRUE
consultations,2013-W21,week,region_5,sentinella_region,all,agegroup_ili_ari,all,0,43414.5,3352,0,0,0,falling,TRUE
consultations,2013-W21,week,region_6,sentinella_region,all,agegroup_ili_ari,all,110.1,14756.6,1254,20.33,0.24,37.5,falling,TRUE
consultations,2013-W21,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W22,week,CH,country,all,agegroup_ili_ari,all,374.4,173865,12995,4.6,0.06,100,stagnant,TRUE
consultations,2013-W22,week,region_1,sentinella_region,all,agegroup_ili_ari,all,148.6,34752.8,2237,8.63,0.13,44.3,rising,TRUE
consultations,2013-W22,week,region_2,sentinella_region,all,agegroup_ili_ari,all,0,28117.4,1957,0,0,0,falling,TRUE
consultations,2013-W22,week,region_3,sentinella_region,all,agegroup_ili_ari,all,0,26033.1,2004,0,0,0,falling,TRUE
consultations,2013-W22,week,region_4,sentinella_region,all,agegroup_ili_ari,all,43.8,17676,1347,5.66,0.07,13.1,stagnant,TRUE
consultations,2013-W22,week,region_5,sentinella_region,all,agegroup_ili_ari,all,0,52147.1,4133,0,0,0,falling,TRUE
consultations,2013-W22,week,region_6,sentinella_region,all,agegroup_ili_ari,all,143.1,15138.4,1317,26.42,0.3,42.7,stagnant,TRUE
consultations,2013-W22,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W23,week,CH,country,all,agegroup_ili_ari,all,277.6,175712.5,13662,3.41,0.04,100,falling,TRUE
consultations,2013-W23,week,region_1,sentinella_region,all,agegroup_ili_ari,all,47.9,35914.6,2399,2.78,0.04,22,falling,TRUE
consultations,2013-W23,week,region_2,sentinella_region,all,agegroup_ili_ari,all,0,28586.2,2092,0,0,0,falling,TRUE
consultations,2013-W23,week,region_3,sentinella_region,all,agegroup_ili_ari,all,0,22872.7,1831,0,0,0,falling,TRUE
consultations,2013-W23,week,region_4,sentinella_region,all,agegroup_ili_ari,all,0,21523.9,1705,0,0,0,falling,TRUE
consultations,2013-W23,week,region_5,sentinella_region,all,agegroup_ili_ari,all,0,50919,4196,0,0,0,falling,TRUE
consultations,2013-W23,week,region_6,sentinella_region,all,agegroup_ili_ari,all,170.3,15896.2,1439,31.45,0.35,78,rising,TRUE
consultations,2013-W23,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W24,week,CH,country,all,agegroup_ili_ari,all,219.8,185030.4,14146,2.7,0.04,100,falling,TRUE
consultations,2013-W24,week,region_1,sentinella_region,all,agegroup_ili_ari,all,0,39739.5,2628,0,0,0,falling,TRUE
consultations,2013-W24,week,region_2,sentinella_region,all,agegroup_ili_ari,all,0,32379.7,2313,0,0,0,falling,TRUE
consultations,2013-W24,week,region_3,sentinella_region,all,agegroup_ili_ari,all,0,24619.6,1949,0,0,0,falling,TRUE
consultations,2013-W24,week,region_4,sentinella_region,all,agegroup_ili_ari,all,0,21880.1,1716,0,0,0,falling,TRUE
consultations,2013-W24,week,region_5,sentinella_region,all,agegroup_ili_ari,all,0,50947.3,4155,0,0,0,falling,TRUE
consultations,2013-W24,week,region_6,sentinella_region,all,agegroup_ili_ari,all,175.1,15464.2,1385,32.33,0.36,100,stagnant,TRUE
consultations,2013-W24,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W25,week,CH,country,all,agegroup_ili_ari,all,146.5,166746,12800,1.8,0.02,100,falling,TRUE
consultations,2013-W25,week,region_1,sentinella_region,all,agegroup_ili_ari,all,0,34160.8,2259,0,0,0,falling,TRUE
consultations,2013-W25,week,region_2,sentinella_region,all,agegroup_ili_ari,all,0,27311,1932,0,0,0,falling,TRUE
consultations,2013-W25,week,region_3,sentinella_region,all,agegroup_ili_ari,all,0,21137.8,1671,0,0,0,falling,TRUE
consultations,2013-W25,week,region_4,sentinella_region,all,agegroup_ili_ari,all,39.6,19518.9,1533,5.12,0.07,37.2,rising,TRUE
consultations,2013-W25,week,region_5,sentinella_region,all,agegroup_ili_ari,all,0,48416.5,3946,0,0,0,falling,TRUE
consultations,2013-W25,week,region_6,sentinella_region,all,agegroup_ili_ari,all,66.8,16201,1459,12.34,0.14,62.8,falling,TRUE
consultations,2013-W25,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W26,week,CH,country,all,agegroup_ili_ari,all,181.5,179502.4,13875,2.23,0.03,100,stagnant,TRUE
consultations,2013-W26,week,region_1,sentinella_region,all,agegroup_ili_ari,all,0,37881,2540,0,0,0,falling,TRUE
consultations,2013-W26,week,region_2,sentinella_region,all,agegroup_ili_ari,all,0,29816.7,2158,0,0,0,falling,TRUE
consultations,2013-W26,week,region_3,sentinella_region,all,agegroup_ili_ari,all,0,26653.1,2130,0,0,0,falling,TRUE
consultations,2013-W26,week,region_4,sentinella_region,all,agegroup_ili_ari,all,0,22373.9,1775,0,0,0,falling,TRUE
consultations,2013-W26,week,region_5,sentinella_region,all,agegroup_ili_ari,all,0,49174.8,4046,0,0,0,falling,TRUE
